"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","PL","Poland",22.385745110,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","PT","Portugal",2.082738880,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","RO","Romania",5.405989830,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","SE","Sweden",32.993577270,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","SI","Slovenia",30.309560990,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","SK","Slovakia",77.697666890,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2009","UK","United Kingdom",16.890077790,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","AT","Austria",26.090674610,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","BG","Bulgaria",15.548859930,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","CY","Cyprus",16.602778520,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","CZ","Czechia",78.464260670,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","DE","Germany",30.357353090,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","DK","Denmark",29.052865730,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","EE","Estonia",28.575928710,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","EL","Greece",2.671034090,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","EU27_21","EU (without UK)",24.522160000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","EU27_UK_21","EU (with UK until 2019)",23.240547000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","EUEEA30_21","EU/EEA (without UK)",24.557239000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",23.285567000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","FI","Finland",45.240269550,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","FR","France",23.147125680,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","HU","Hungary",59.444851190,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","IE","Ireland",7.671294060,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","IS","Iceland",10.704278560,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","IT","Italy",8.986293540,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","LT","Lithuania",62.444779970,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","LU","Luxembourg",42.026347130,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","LV","Latvia",41.358092220,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","MT","Malta",38.644822680,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","NL","Netherlands",13.640657610,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","NO","Norway",28.199750560,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","PL","Poland",24.361654560,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","PT","Portugal",1.938813130,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","RO","Romania",6.331707660,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","SE","Sweden",38.669553250,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","SI","Slovenia",17.733476110,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","SK","Slovakia",91.681337780,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2010","UK","United Kingdom",15.469476120,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","AT","Austria",17.098172640,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","BG","Bulgaria",12.538281440,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","CY","Cyprus",13.099121040,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","CZ","Czechia",81.045275210,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","DE","Germany",29.894518420,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","DK","Denmark",21.040788910,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","EE","Estonia",28.202698430,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","EL","Greece",4.234319890,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","EU27_21","EU (without UK)",23.916051000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","EU27_UK_21","EU (with UK until 2019)",22.642035000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","EUEEA30_21","EU/EEA (without UK)",23.937473000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","EUEEAUK_21","EU/EEA (with UK until 2019)",22.675389000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","FI","Finland",38.974742870,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","FR","France",27.845654270,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","HU","Hungary",61.778206920,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","IE","Ireland",6.803939980,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","IS","Iceland",14.130858020,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","IT","Italy",7.524675020,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","LT","Lithuania",75.149348680,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","LU","Luxembourg",24.421694270,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","LV","Latvia",47.960937140,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","MT","Malta",31.085161290,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","NL","Netherlands",12.045354290,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","NO","Norway",26.217886890,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","PL","Poland",22.079348090,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","PT","Portugal",1.645744740,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","RO","Romania",4.896267690,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","SE","Sweden",30.661977970,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","SI","Slovenia",19.510396350,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","SK","Slovakia",72.267761230,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2011","UK","United Kingdom",15.000984090,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","AT","Austria",21.086756480,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","BG","Bulgaria",11.450448350,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","CY","Cyprus",10.440702030,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","CZ","Czechia",95.721789980,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","DE","Germany",25.511683980,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","DK","Denmark",21.628824280,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","EE","Estonia",18.789375620,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","EL","Greece",3.644102510,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","EU27_21","EU (without UK)",23.208250000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","EU27_UK_21","EU (with UK until 2019)",21.880434000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","EUEEA30_21","EU/EEA (without UK)",23.254053000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",21.935399000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","FI","Finland",40.916325740,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","FR","France",27.782253150,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","HR","Croatia",0.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","HU","Hungary",54.994374200,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","IE","Ireland",6.733072040,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","IS","Iceland",11.890792450,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","IT","Italy",8.130422550,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","LT","Lithuania",58.662137050,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","LU","Luxembourg",25.912017260,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","LV","Latvia",26.750612400,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","MT","Malta",21.075522210,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","NL","Netherlands",20.537154990,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","NO","Norway",27.497708520,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","PL","Poland",20.909635060,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","PT","Portugal",1.754818970,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","RO","Romania",3.473328710,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","SE","Sweden",30.813505000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","SI","Slovenia",19.070822800,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","SK","Slovakia",85.616660140,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2012","UK","United Kingdom",13.878238890,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","AT","Austria",16.611728060,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","BG","Bulgaria",10.515403000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","CY","Cyprus",9.123687170,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","CZ","Czechia",93.095127720,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","DE","Germany",23.217995840,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","DK","Denmark",20.294047720,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","EE","Estonia",13.861809120,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","EL","Greece",3.762399900,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","EU27_21","EU (without UK)",21.504005000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","EU27_UK_21","EU (with UK until 2019)",20.324206000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","EUEEA30_21","EU/EEA (without UK)",21.569227000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",20.394225000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","FI","Finland",36.560147150,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","FR","France",28.350331460,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","HR","Croatia",0.000000000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","HU","Hungary",49.985881230,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","IE","Ireland",7.071922530,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","IS","Iceland",14.913455350,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","IT","Italy",8.457704280,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","LT","Lithuania",40.344492840,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","LU","Luxembourg",22.344745910,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","LV","Latvia",19.023383930,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","MT","Malta",19.881233290,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","NL","Netherlands",9.116366170,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","NO","Norway",26.943692430,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","PL","Poland",19.218373130,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","PT","Portugal",1.592403900,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","RO","Romania",6.503472460,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","SE","Sweden",29.740810190,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","SI","Slovenia",15.348590280,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","SK","Slovakia",70.358813310,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2013","UK","United Kingdom",13.246153970,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","AT","Austria",19.441015550,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","BE","Belgium",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","BG","Bulgaria",10.074972980,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","CY","Cyprus",10.256410250,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","CZ","Czechia",126.088962010,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","DE","Germany",19.809957380,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","DK","Denmark",19.974285770,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","EE","Estonia",6.991843100,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","EL","Greece",3.193979720,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","ES","Spain",-,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","EU27_21","EU (without UK)",22.001463000,""
"Salmonellosis","Disease surveillance|Confirmed cases","Notification rate","N/100000","2014","EU27_UK_21","EU (with UK until 2019)",20.653601000,""
